"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","secretory granule localization","3","853","6","13832","4.82e-2","8.07e-1","8.11","1.00e+0","7.95e-1","4.06e-3","ENSMUSG00000027347,ENSMUSG00000033590,ENSMUSG00000024985"
"GOTERM_BP_DIRECT","regulation of myoblast differentiation","3","853","6","13832","4.82e-2","8.07e-1","8.11","1.00e+0","7.95e-1","4.06e-3","ENSMUSG00000021127,ENSMUSG00000079110,ENSMUSG00000020542"
"GOTERM_BP_DIRECT","blood coagulation, fibrin clot formation","3","853","6","13832","4.82e-2","8.07e-1","8.11","1.00e+0","7.95e-1","4.06e-3","ENSMUSG00000040152,ENSMUSG00000020689,ENSMUSG00000006369"
"GOTERM_BP_DIRECT","premeiotic DNA replication","3","853","6","13832","4.82e-2","8.07e-1","8.11","1.00e+0","7.95e-1","4.06e-3","ENSMUSG00000041859,ENSMUSG00000022673,ENSMUSG00000005410"
"GOTERM_BP_DIRECT","regulation of gene expression","31","853","355","13832","4.88e-2","8.15e-1","1.42","1.00e+0","8.02e-1","3.19e-2","ENSMUSG00000009900,ENSMUSG00000058794,ENSMUSG00000022483,ENSMUSG00000026686,ENSMUSG00000027478,ENSMUSG00000002633,ENSMUSG00000001288,ENSMUSG00000021318,ENSMUSG00000021835,ENSMUSG00000072244,ENSMUSG00000034460,ENSMUSG00000051367,ENSMUSG00000031737,ENSMUSG00000038765,ENSMUSG00000056758,ENSMUSG00000032113,ENSMUSG00000028871,ENSMUSG00000053110,ENSMUSG00000006360,ENSMUSG00000061013,ENSMUSG00000020053,ENSMUSG00000043969,ENSMUSG00000028736,ENSMUSG00000029546,ENSMUSG00000046711,ENSMUSG00000021127,ENSMUSG00000002603,ENSMUSG00000066687,ENSMUSG00000032717,ENSMUSG00000037124,ENSMUSG00000034330"
"GOTERM_BP_DIRECT","middle ear morphogenesis","5","853","23","13832","4.97e-2","8.26e-1","3.53","1.00e+0","8.13e-1","1.17e-2","ENSMUSG00000048450,ENSMUSG00000039476,ENSMUSG00000051367,ENSMUSG00000024134,ENSMUSG00000026586"
"GOTERM_BP_DIRECT","cellular response to leukemia inhibitory factor","13","853","115","13832","5.07e-2","8.30e-1","1.83","1.00e+0","8.17e-1","2.47e-2","ENSMUSG00000031520,ENSMUSG00000028179,ENSMUSG00000049791,ENSMUSG00000025001,ENSMUSG00000001288,ENSMUSG00000050957,ENSMUSG00000017861,ENSMUSG00000020534,ENSMUSG00000000628,ENSMUSG00000029718,ENSMUSG00000024827,ENSMUSG00000021848,ENSMUSG00000031139"
"GOTERM_BP_DIRECT","system development","8","853","55","13832","5.08e-2","8.30e-1","2.36","1.00e+0","8.17e-1","1.87e-2","ENSMUSG00000045005,ENSMUSG00000005087,ENSMUSG00000004231,ENSMUSG00000048001,ENSMUSG00000031283,ENSMUSG00000027004,ENSMUSG00000024598,ENSMUSG00000032511"
"GOTERM_BP_DIRECT","mesenchymal cell differentiation","4","853","14","13832","5.09e-2","8.30e-1","4.63","1.00e+0","8.17e-1","8.74e-3","ENSMUSG00000050295,ENSMUSG00000051367,ENSMUSG00000024134,ENSMUSG00000056758"
"GOTERM_BP_DIRECT","cell-cell adhesion mediated by integrin","4","853","14","13832","5.09e-2","8.30e-1","4.63","1.00e+0","8.17e-1","8.74e-3","ENSMUSG00000020689,ENSMUSG00000001014,ENSMUSG00000000555,ENSMUSG00000034664"
