Run	AGE	sex
SRR27534519	embryonic day 14.5	female
SRR27534520	embryonic day 14.5	female
SRR27534521	embryonic day 14.5	female
SRR27534522	embryonic day 14.5	male
SRR27534523	embryonic day 14.5	male
SRR27534524	embryonic day 14.5	male
SRR27534525	embryonic day 11.5	female
SRR27534526	embryonic day 11.5	female
SRR27534527	embryonic day 11.5	female
SRR27534528	embryonic day 11.5	male
SRR27534529	embryonic day 11.5	male
SRR27534530	embryonic day 11.5	male
