"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0006887"	"GO:0006887"	"exocytosis"	345	0.504625750946263	2.23570180936242	1.49123637567424e-18	2.80496751824404e-16	1.81125722098023e-16	3193	"tags=41%, list=20%, signal=34%"
"GO:0090068"	"GO:0090068"	"positive regulation of cell cycle process"	242	-0.495661217527099	-2.48586213709218	1.94964499823059e-18	3.5526187452133e-16	2.29403952587856e-16	3227	"tags=50%, list=20%, signal=41%"
"GO:0000280"	"GO:0000280"	"nuclear division"	383	-0.419186589359439	-2.19456253449135	6.86610962895406e-18	1.21322076504337e-15	7.83415443150517e-16	3241	"tags=44%, list=20%, signal=36%"
"GO:0098742"	"GO:0098742"	"cell-cell adhesion via plasma-membrane adhesion molecules"	226	0.562172953436343	2.3925251785716	7.86140745390001e-18	1.34823137834385e-15	8.70596113393199e-16	2904	"tags=52%, list=18%, signal=43%"
"GO:0007613"	"GO:0007613"	"memory"	166	0.608443987032177	2.51523741891246	9.95039331736201e-18	1.65773552667251e-15	1.07045283898358e-15	2180	"tags=43%, list=14%, signal=37%"
"GO:0035249"	"GO:0035249"	"synaptic transmission, glutamatergic"	121	0.655002947924882	2.59619940043814	1.53308041335661e-17	2.4761369216397e-15	1.59892078973639e-15	2939	"tags=57%, list=18%, signal=47%"
"GO:0035418"	"GO:0035418"	"protein localization to synapse"	112	0.663532176645627	2.58851595761342	1.57120675871495e-17	2.4761369216397e-15	1.59892078973639e-15	2955	"tags=64%, list=18%, signal=53%"
"GO:0006302"	"GO:0006302"	"double-strand break repair"	303	-0.448604414463071	-2.30167142438373	1.67409998161789e-17	2.56886236652997e-15	1.65879657458371e-15	3891	"tags=46%, list=24%, signal=35%"
"GO:0060291"	"GO:0060291"	"long-term synaptic potentiation"	109	0.6735945714125	2.620432441697	2.47292422871735e-17	3.68709204646987e-15	2.38087323655286e-15	2857	"tags=58%, list=18%, signal=48%"
"GO:0030534"	"GO:0030534"	"adult behavior"	167	0.604827142863554	2.50349003097322	2.52930341037206e-17	3.68709204646987e-15	2.38087323655286e-15	3571	"tags=57%, list=22%, signal=45%"
"GO:0071805"	"GO:0071805"	"potassium ion transmembrane transport"	170	0.59557928490766	2.47707170248792	4.93785245847988e-17	7.02258967936492e-15	4.53471071732542e-15	3020	"tags=55%, list=19%, signal=45%"
"GO:1990138"	"GO:1990138"	"neuron projection extension"	190	0.580171193816399	2.44227440825915	5.47551436428191e-17	7.60183910907805e-15	4.90875059675098e-15	2612	"tags=43%, list=16%, signal=36%"
"GO:0016079"	"GO:0016079"	"synaptic vesicle exocytosis"	123	0.647479341899394	2.56612031887916	6.98262368061904e-17	9.46876248411386e-15	6.11428271862284e-15	1600	"tags=44%, list=10%, signal=40%"
"GO:0016358"	"GO:0016358"	"dendrite development"	314	0.503410993817175	2.20890223280876	8.24990956608021e-17	1.09330051545031e-14	7.059791032983e-15	2939	"tags=41%, list=18%, signal=34%"
"GO:0006813"	"GO:0006813"	"potassium ion transport"	200	0.571091547879589	2.40571937711505	8.5770500470008e-17	1.11139508497915e-14	7.17663345453143e-15	2411	"tags=46%, list=15%, signal=40%"
"GO:0001508"	"GO:0001508"	"action potential"	167	0.598722132967031	2.47822027978022	1.02173808168478e-16	1.2951640770226e-14	8.36328859996903e-15	3020	"tags=54%, list=19%, signal=44%"
"GO:0031346"	"GO:0031346"	"positive regulation of cell projection organization"	418	0.46309940739673	2.08265312018716	3.52862182527793e-16	4.377743375148e-14	2.82684888443878e-14	2209	"tags=30%, list=14%, signal=26%"
"GO:0000725"	"GO:0000725"	"recombinational repair"	183	-0.522716064622742	-2.53155757764267	3.89403798844092e-16	4.73044489804146e-14	3.05459953610815e-14	3608	"tags=49%, list=22%, signal=38%"
"GO:0000724"	"GO:0000724"	"double-strand break repair via homologous recombination"	178	-0.525329702121701	-2.51944224751596	4.49929382120909e-16	5.35415964723882e-14	3.45735209419225e-14	3608	"tags=49%, list=22%, signal=38%"
"GO:0042274"	"GO:0042274"	"ribosomal small subunit biogenesis"	105	-0.611957530804614	-2.72706215667639	5.98026035329596e-16	6.97417962401375e-14	4.50345079657677e-14	4698	"tags=74%, list=29%, signal=53%"
"GO:0060079"	"GO:0060079"	"excitatory postsynaptic potential"	111	0.645501357168894	2.51614954315819	8.48026265537987e-16	9.69576696931765e-14	6.26086677364165e-14	3036	"tags=59%, list=19%, signal=49%"
